Reference,DOI,Location,Season,Urchin,Plant,Unit,Consumption_mean,Consumption_sd,Consumption_n,Defecation_mean,Defecation_sd,Defecation_n,Absorption_mean,Absorption_sd,Absorption_n,Percentage_mean,Percentage_sd,Percentage_n,Source,Notes
Larson et al. 1980,10.1007/BF00396982,"Moose Point State Park, Maine, USA",Winter,Strongylocentrotus droebachiensis,Chondrus crispus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,Table 4,
Larson et al. 1980,10.1007/BF00396982,"Moose Point State Park, Maine, USA",Summer,Strongylocentrotus droebachiensis,Corallina officinalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,Table 4,
Larson et al. 1980,10.1007/BF00396982,"Moose Point State Park, Maine, USA",Winter,Strongylocentrotus droebachiensis,Corallina officinalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA,NA,Table 4,
Larson et al. 1980,10.1007/BF00396982,"Moose Point State Park, Maine, USA",Summer,Strongylocentrotus droebachiensis,Ascophyllum nodosum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,Table 4,
Larson et al. 1980,10.1007/BF00396982,"Moose Point State Park, Maine, USA",Winter,Strongylocentrotus droebachiensis,Ascophyllum nodosum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,NA,NA,Table 4,
Larson et al. 1980,10.1007/BF00396982,"Moose Point State Park, Maine, USA",Summer,Strongylocentrotus droebachiensis,Agarum clathratum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,Table 4,
Larson et al. 1980,10.1007/BF00396982,"Moose Point State Park, Maine, USA",Winter,Strongylocentrotus droebachiensis,Agarum clathratum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,NA,NA,Table 4,
Miller & Mann 1973,10.1007/BF00348685,"St. Margaret's Bay, Nova Scotia, Canada","Winter, Spring",Strongylocentrotus droebachiensis,Saccharina latissima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,15.58845727,12,Table 3,"calories only but similar calorific content of kelp (2.7 kcal g^−1 dry mass) and faeces (2.6 kcal g^−1 dry mass), uncertainty in figures is reported as 2 * s.e.m. so s.d. was calculated as uncertainty / 2 * √n "
Miller & Mann 1973,10.1007/BF00348685,"St. Margaret's Bay, Nova Scotia, Canada",Spring,Strongylocentrotus droebachiensis,Saccharina latissima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,7.483314774,14,Table 3,"calories only but similar calorific content of kelp (2.7 kcal g^−1 dry mass) and faeces (2.6 kcal g^−1 dry mass), uncertainty in figures is reported as 2 * s.e.m. so s.d. was calculated as uncertainty / 2 * √n "
Miller & Mann 1973,10.1007/BF00348685,"St. Margaret's Bay, Nova Scotia, Canada",Summer,Strongylocentrotus droebachiensis,Saccharina latissima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,9.013878189,13,Table 3,"calories only but similar calorific content of kelp (2.7 kcal g^−1 dry mass) and faeces (2.6 kcal g^−1 dry mass), uncertainty in figures is reported as 2 * s.e.m. so s.d. was calculated as uncertainty / 2 * √n "
Miller & Mann 1973,10.1007/BF00348685,"St. Margaret's Bay, Nova Scotia, Canada","Summer, Autumn",Strongylocentrotus droebachiensis,Saccharina latissima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,3.741657387,14,Table 3,"calories only but similar calorific content of kelp (2.7 kcal g^−1 dry mass) and faeces (2.6 kcal g^−1 dry mass), uncertainty in figures is reported as 2 * s.e.m. so s.d. was calculated as uncertainty / 2 * √n "
Miller & Mann 1973,10.1007/BF00348685,"St. Margaret's Bay, Nova Scotia, Canada",Autumn,Strongylocentrotus droebachiensis,Saccharina latissima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,5.196152423,12,Table 3,"calories only but similar calorific content of kelp (2.7 kcal g^−1 dry mass) and faeces (2.6 kcal g^−1 dry mass), uncertainty in figures is reported as 2 * s.e.m. so s.d. was calculated as uncertainty / 2 * √n "
Miller & Mann 1973,10.1007/BF00348685,"St. Margaret's Bay, Nova Scotia, Canada",Winter,Strongylocentrotus droebachiensis,Saccharina latissima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,9.949874371,11,Table 3,"calories only but similar calorific content of kelp (2.7 kcal g^−1 dry mass) and faeces (2.6 kcal g^−1 dry mass), uncertainty in figures is reported as 2 * s.e.m. so s.d. was calculated as uncertainty / 2 * √n "
Miller & Mann 1973,10.1007/BF00348685,"St. Margaret's Bay, Nova Scotia, Canada",Autumn,Strongylocentrotus droebachiensis,Saccharina latissima,cal urchin^−1 d^−1,88,NA,1,NA,NA,NA,62,NA,1,NA,NA,NA,Table 4,calories only but similar calorific content of kelp (2.7 kcal g^−1 dry mass) and faeces (2.6 kcal g^−1 dry mass)
Miller & Mann 1973,10.1007/BF00348685,"St. Margaret's Bay, Nova Scotia, Canada",Autumn,Strongylocentrotus droebachiensis,Saccharina latissima,cal urchin^−1 d^−1,52,NA,1,NA,NA,NA,36,NA,1,NA,NA,NA,Table 4,calories only but similar calorific content of kelp (2.7 kcal g^−1 dry mass) and faeces (2.6 kcal g^−1 dry mass)
Miller & Mann 1973,10.1007/BF00348685,"St. Margaret's Bay, Nova Scotia, Canada",Autumn,Strongylocentrotus droebachiensis,Saccharina latissima,cal urchin^−1 d^−1,104,NA,1,NA,NA,NA,69,NA,1,NA,NA,NA,Table 4,calories only but similar calorific content of kelp (2.7 kcal g^−1 dry mass) and faeces (2.6 kcal g^−1 dry mass)
Miller & Mann 1973,10.1007/BF00348685,"St. Margaret's Bay, Nova Scotia, Canada",Winter,Strongylocentrotus droebachiensis,Saccharina latissima,cal urchin^−1 d^−1,57,NA,1,NA,NA,NA,33,NA,1,NA,NA,NA,Table 4,calories only but similar calorific content of kelp (2.7 kcal g^−1 dry mass) and faeces (2.6 kcal g^−1 dry mass)
Miller & Mann 1973,10.1007/BF00348685,"St. Margaret's Bay, Nova Scotia, Canada",Autumn,Strongylocentrotus droebachiensis,Saccharina latissima,cal urchin^−1 d^−1,41,NA,1,NA,NA,NA,29,NA,1,NA,NA,NA,Table 4,calories only but similar calorific content of kelp (2.7 kcal g^−1 dry mass) and faeces (2.6 kcal g^−1 dry mass)
Miller & Mann 1973,10.1007/BF00348685,"St. Margaret's Bay, Nova Scotia, Canada",Autumn,Strongylocentrotus droebachiensis,Saccharina latissima,cal urchin^−1 d^−1,125,NA,1,NA,NA,NA,86,NA,1,NA,NA,NA,Table 4,calories only but similar calorific content of kelp (2.7 kcal g^−1 dry mass) and faeces (2.6 kcal g^−1 dry mass)
Miller & Mann 1973,10.1007/BF00348685,"St. Margaret's Bay, Nova Scotia, Canada",Autumn,Strongylocentrotus droebachiensis,Saccharina latissima,cal urchin^−1 d^−1,68,NA,1,NA,NA,NA,53,NA,1,NA,NA,NA,Table 4,calories only but similar calorific content of kelp (2.7 kcal g^−1 dry mass) and faeces (2.6 kcal g^−1 dry mass)
Miller & Mann 1973,10.1007/BF00348685,"St. Margaret's Bay, Nova Scotia, Canada",Winter,Strongylocentrotus droebachiensis,Saccharina latissima,cal urchin^−1 d^−1,42,NA,1,NA,NA,NA,32,NA,1,NA,NA,NA,Table 4,calories only but similar calorific content of kelp (2.7 kcal g^−1 dry mass) and faeces (2.6 kcal g^−1 dry mass)
Stumpp et al. 2012,10.1016/j.aquatox.2011.12.020,Kattegat,Spring,Strongylocentrotus droebachiensis,Fucus vesiculosus,mg dry mass urchin^−1 d^−1,59.69933854,11.68971738,6,32.3752255,2.21286831,6,NA,NA,NA,NA,NA,NA,Figure 3,
Stumpp et al. 2012,10.1016/j.aquatox.2011.12.020,Kattegat,Spring,Strongylocentrotus droebachiensis,Fucus vesiculosus,mg dry mass urchin^−1 d^−1,55.22549609,4.137101624,6,28.38244137,3.078773301,6,NA,NA,NA,NA,NA,NA,Figure 3,
Stumpp et al. 2012,10.1016/j.aquatox.2011.12.020,Kattegat,Spring,Strongylocentrotus droebachiensis,Fucus vesiculosus,mg dry mass urchin^−1 d^−1,42.09260373,7.408298256,6,18.28021648,3.656043295,6,NA,NA,NA,NA,NA,NA,Figure 3,
Buxton & Field 1983,10.1080/02541858.1983.11447808,"Oudekraal, South Africa",NA,Parechinus angulosus,Ecklonia maxima,mg dry mass urchin^−1 d^−1,4.7,NA,1,0.68,NA,1,NA,NA,NA,14.5,NA,1,Table 1,"calculated % does not match reported %, so reported % is considered more accurate"
Buxton & Field 1983,10.1080/02541858.1983.11447808,"Oudekraal, South Africa",NA,Parechinus angulosus,Ecklonia maxima,mg dry mass urchin^−1 d^−1,13.8,NA,1,5,NA,1,NA,NA,NA,36.2,NA,1,Table 1,"calculated % does not match reported %, so reported % is considered more accurate"
Buxton & Field 1983,10.1080/02541858.1983.11447808,"Oudekraal, South Africa",NA,Parechinus angulosus,Ecklonia maxima,mg dry mass urchin^−1 d^−1,112.7,NA,1,27.6,NA,1,NA,NA,NA,24.5,NA,1,Table 1,"calculated % does not match reported %, so reported % is considered more accurate"
Buxton & Field 1983,10.1080/02541858.1983.11447808,"Oudekraal, South Africa",NA,Parechinus angulosus,Ecklonia maxima,mg dry mass urchin^−1 d^−1,105.1,NA,1,6.8,NA,1,NA,NA,NA,6.5,NA,1,Table 1,"calculated % does not match reported %, so reported % is considered more accurate"
Buxton & Field 1983,10.1080/02541858.1983.11447808,"Oudekraal, South Africa",NA,Parechinus angulosus,Ecklonia maxima,mg dry mass urchin^−1 d^−1,33.6,NA,1,3.9,NA,1,NA,NA,NA,11.6,NA,1,Table 1,"calculated % does not match reported %, so reported % is considered more accurate"
Buxton & Field 1983,10.1080/02541858.1983.11447808,"Oudekraal, South Africa",NA,Parechinus angulosus,Ecklonia maxima,mg dry mass urchin^−1 d^−1,78.1,NA,1,9.1,NA,1,NA,NA,NA,11.7,NA,1,Table 1,"calculated % does not match reported %, so reported % is considered more accurate"
Buxton & Field 1983,10.1080/02541858.1983.11447808,"Oudekraal, South Africa",NA,Parechinus angulosus,Ecklonia maxima,mg dry mass urchin^−1 d^−1,33.8,NA,1,5.4,NA,1,NA,NA,NA,16,NA,1,Table 1,"calculated % does not match reported %, so reported % is considered more accurate"
Buxton & Field 1983,10.1080/02541858.1983.11447808,"Oudekraal, South Africa",NA,Parechinus angulosus,Ecklonia maxima,mg dry mass urchin^−1 d^−1,12,NA,1,2.4,NA,1,NA,NA,NA,20,NA,1,Table 1,"calculated % does not match reported %, so reported % is considered more accurate"
Buxton & Field 1983,10.1080/02541858.1983.11447808,"Oudekraal, South Africa",NA,Parechinus angulosus,Ecklonia maxima,mg dry mass urchin^−1 d^−1,18.9,NA,1,4.1,NA,1,NA,NA,NA,21.7,NA,1,Table 1,"calculated % does not match reported %, so reported % is considered more accurate"
Buxton & Field 1983,10.1080/02541858.1983.11447808,"Oudekraal, South Africa",NA,Parechinus angulosus,Ecklonia maxima,mg dry mass urchin^−1 d^−1,18.5,NA,1,3,NA,1,NA,NA,NA,16.2,NA,1,Table 1,"calculated % does not match reported %, so reported % is considered more accurate"
Buxton & Field 1983,10.1080/02541858.1983.11447808,"Oudekraal, South Africa",NA,Parechinus angulosus,Ecklonia maxima,mg dry mass urchin^−1 d^−1,47.2,NA,1,3.8,NA,1,NA,NA,NA,8.1,NA,1,Table 1,"calculated % does not match reported %, so reported % is considered more accurate"
Buxton & Field 1983,10.1080/02541858.1983.11447808,"Oudekraal, South Africa",NA,Parechinus angulosus,Ecklonia maxima,mg dry mass urchin^−1 d^−1,82.6,NA,1,9.5,NA,1,NA,NA,NA,11.5,NA,1,Table 1,"calculated % does not match reported %, so reported % is considered more accurate"
Buxton & Field 1983,10.1080/02541858.1983.11447808,"Oudekraal, South Africa",NA,Parechinus angulosus,Ecklonia maxima,mg dry mass urchin^−1 d^−1,102.3,NA,1,7.2,NA,1,NA,NA,NA,7.1,NA,1,Table 1,"calculated % does not match reported %, so reported % is considered more accurate"
Buxton & Field 1983,10.1080/02541858.1983.11447808,"Oudekraal, South Africa",NA,Parechinus angulosus,Ecklonia maxima,mg dry mass urchin^−1 d^−1,64.4,NA,1,11.8,NA,1,NA,NA,NA,18.3,NA,1,Table 1,"calculated % does not match reported %, so reported % is considered more accurate"
Buxton & Field 1983,10.1080/02541858.1983.11447808,"Oudekraal, South Africa",NA,Parechinus angulosus,Ecklonia maxima,mg dry mass urchin^−1 d^−1,114.9,NA,1,7.8,NA,1,NA,NA,NA,6.8,NA,1,Table 1,"calculated % does not match reported %, so reported % is considered more accurate"
Azad et al. 2011,10.1016/j.aquaculture.2011.03.019,"Sombrio, Vancouver Island, British Columbia, Canada","Autumn, Winter",Strongylocentrotus purpuratus,Saccharina latissima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.6,12.24744871,6,Figure 2a,s.d. calculated as s.e.m. * √n
Azad et al. 2011,10.1016/j.aquaculture.2011.03.019,"Sombrio, Vancouver Island, British Columbia, Canada","Autumn, Winter",Strongylocentrotus purpuratus,Macrocystis pyrifera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.9,6.736096793,6,Figure 2a,s.d. calculated as s.e.m. * √n
Azad et al. 2011,10.1016/j.aquaculture.2011.03.019,"Sombrio, Vancouver Island, British Columbia, Canada","Autumn, Winter",Strongylocentrotus purpuratus,Nereocystis luetkeana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.7,3.919183588,6,Figure 2a,s.d. calculated as s.e.m. * √n
Azad et al. 2011,10.1016/j.aquaculture.2011.03.019,"Sombrio, Vancouver Island, British Columbia, Canada","Autumn, Winter",Strongylocentrotus purpuratus,Saccharina latissima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.8,12.24744871,6,Figure 2a,s.d. calculated as s.e.m. * √n
Azad et al. 2011,10.1016/j.aquaculture.2011.03.019,"Sombrio, Vancouver Island, British Columbia, Canada","Autumn, Winter",Strongylocentrotus purpuratus,Macrocystis pyrifera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.7,6.123724357,6,Figure 2a,s.d. calculated as s.e.m. * √n
Azad et al. 2011,10.1016/j.aquaculture.2011.03.019,"Sombrio, Vancouver Island, British Columbia, Canada","Autumn, Winter",Strongylocentrotus purpuratus,Nereocystis luetkeana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.7,3.919183588,6,Figure 2a,s.d. calculated as s.e.m. * √n
Azad et al. 2011,10.1016/j.aquaculture.2011.03.019,"Sombrio, Vancouver Island, British Columbia, Canada","Autumn, Winter",Strongylocentrotus purpuratus,Saccharina latissima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,12.12497423,6,Figure 2a,s.d. calculated as s.e.m. * √n
Azad et al. 2011,10.1016/j.aquaculture.2011.03.019,"Sombrio, Vancouver Island, British Columbia, Canada","Autumn, Winter",Strongylocentrotus purpuratus,Macrocystis pyrifera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.1,6.123724357,6,Figure 2a,s.d. calculated as s.e.m. * √n
Azad et al. 2011,10.1016/j.aquaculture.2011.03.019,"Sombrio, Vancouver Island, British Columbia, Canada","Autumn, Winter",Strongylocentrotus purpuratus,Nereocystis luetkeana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.6,3.796709101,6,Figure 2a,s.d. calculated as s.e.m. * √n
Azad et al. 2011,10.1016/j.aquaculture.2011.03.019,"Sombrio, Vancouver Island, British Columbia, Canada","Autumn, Winter",Strongylocentrotus purpuratus,Saccharina latissima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5,12.24744871,6,Figure 2a,s.d. calculated as s.e.m. * √n
Azad et al. 2011,10.1016/j.aquaculture.2011.03.019,"Sombrio, Vancouver Island, British Columbia, Canada","Autumn, Winter",Strongylocentrotus purpuratus,Macrocystis pyrifera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.1,6.123724357,6,Figure 2a,s.d. calculated as s.e.m. * √n
Azad et al. 2011,10.1016/j.aquaculture.2011.03.019,"Sombrio, Vancouver Island, British Columbia, Canada","Autumn, Winter",Strongylocentrotus purpuratus,Nereocystis luetkeana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,3.919183588,6,Figure 2a,s.d. calculated as s.e.m. * √n
Azad et al. 2011,10.1016/j.aquaculture.2011.03.019,"Sombrio, Vancouver Island, British Columbia, Canada","Autumn, Winter",Strongylocentrotus purpuratus,Saccharina latissima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.5,12.12497423,6,Figure 2a,s.d. calculated as s.e.m. * √n
Azad et al. 2011,10.1016/j.aquaculture.2011.03.019,"Sombrio, Vancouver Island, British Columbia, Canada","Autumn, Winter",Strongylocentrotus purpuratus,Macrocystis pyrifera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5,6.123724357,6,Figure 2a,s.d. calculated as s.e.m. * √n
Azad et al. 2011,10.1016/j.aquaculture.2011.03.019,"Sombrio, Vancouver Island, British Columbia, Canada","Autumn, Winter",Strongylocentrotus purpuratus,Nereocystis luetkeana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,3.674234614,6,Figure 2a,s.d. calculated as s.e.m. * √n
Azad et al. 2011,10.1016/j.aquaculture.2011.03.019,"Sombrio, Vancouver Island, British Columbia, Canada","Autumn, Winter",Strongylocentrotus purpuratus,Saccharina latissima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.7,11.51260179,6,Figure 2a,s.d. calculated as s.e.m. * √n
Azad et al. 2011,10.1016/j.aquaculture.2011.03.019,"Sombrio, Vancouver Island, British Columbia, Canada","Autumn, Winter",Strongylocentrotus purpuratus,Macrocystis pyrifera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.1,6.123724357,6,Figure 2a,s.d. calculated as s.e.m. * √n
Azad et al. 2011,10.1016/j.aquaculture.2011.03.019,"Sombrio, Vancouver Island, British Columbia, Canada","Autumn, Winter",Strongylocentrotus purpuratus,Nereocystis luetkeana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.6,3.796709101,6,Figure 2a,s.d. calculated as s.e.m. * √n
del Mar Otero-Villanueva et al. 2004,10.1016/j.jembe.2003.12.002,"Oban, Argyll, Scotland","Autumn, Winter",Psammechinus miliaris,Saccharina latissima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.53,23.87969849,11,Table 2,"s.d. calculated as s.e.m. * √n, n from Figure 3"
del Mar Otero-Villanueva et al. 2004,10.1016/j.jembe.2003.12.002,"Loch Fyne, Argyll, Scotland",Spring,Psammechinus miliaris,Saccharina latissima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.22,7.274613392,3,Table 3,"s.d. calculated as s.e.m. * √n, corresponding Figure 4 reports 9 impossible values above 100% defecation"
del Mar Otero-Villanueva et al. 2004,10.1016/j.jembe.2003.12.002,"Loch Fyne, Argyll, Scotland",Summer,Psammechinus miliaris,Saccharina latissima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.24,5.542562584,3,Table 3,"s.d. calculated as s.e.m. * √n, corresponding Figure 4 reports 9 impossible values above 100% defecation"
del Mar Otero-Villanueva et al. 2004,10.1016/j.jembe.2003.12.002,"Loch Fyne, Argyll, Scotland",Summer,Psammechinus miliaris,Saccharina latissima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.4,3.983716857,3,Table 3,"s.d. calculated as s.e.m. * √n, corresponding Figure 4 reports 9 impossible values above 100% defecation"
del Mar Otero-Villanueva et al. 2004,10.1016/j.jembe.2003.12.002,"Loch Fyne, Argyll, Scotland",Summer,Psammechinus miliaris,Saccharina latissima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.96,4.156921938,3,Table 3,"s.d. calculated as s.e.m. * √n, corresponding Figure 4 reports 9 impossible values above 100% defecation"
del Mar Otero-Villanueva et al. 2004,10.1016/j.jembe.2003.12.002,"Loch Fyne, Argyll, Scotland",Autumn,Psammechinus miliaris,Saccharina latissima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.15,6.235382907,3,Table 3,"s.d. calculated as s.e.m. * √n, corresponding Figure 4 reports 9 impossible values above 100% defecation"
Jacquin et al. 2006,10.1016/j.jembe.2006.07.005,"Bay of Brest, France",Autumn,Paracentrotus lividus,Palmaria palmata,mg dry mass urchin^−1 d^−1,51.67630058,13.17919075,3,8.063583815,2.904624277,3,NA,NA,NA,NA,NA,NA,Figure 4a,n from text
Jacquin et al. 2006,10.1016/j.jembe.2006.07.005,"Bay of Brest, France",Autumn,Paracentrotus lividus,Palmaria palmata,mg dry mass urchin^−1 d^−1,50.75144509,11.79190751,3,4.638728324,1.560693642,3,NA,NA,NA,NA,NA,NA,Figure 4a,n from text
Jacquin et al. 2006,10.1016/j.jembe.2006.07.005,"Bay of Brest, France",Autumn,Paracentrotus lividus,Palmaria palmata,mg dry mass urchin^−1 d^−1,66.93641618,9.36416185,3,6.199421965,0.780346821,3,NA,NA,NA,NA,NA,NA,Figure 4a,n from text
Jacquin et al. 2006,10.1016/j.jembe.2006.07.005,"Bay of Brest, France",Autumn,Paracentrotus lividus,Palmaria palmata,mg dry mass urchin^−1 d^−1,46.58959538,8.901734104,3,4.291907514,0.606936416,3,NA,NA,NA,NA,NA,NA,Figure 4a,n from text
Jacquin et al. 2006,10.1016/j.jembe.2006.07.005,"Bay of Brest, France",Winter,Paracentrotus lividus,Palmaria palmata,mg dry mass urchin^−1 d^−1,38.84393064,18.15028902,3,4.421965318,4.595375723,3,NA,NA,NA,NA,NA,NA,Figure 4a,n from text
Jacquin et al. 2006,10.1016/j.jembe.2006.07.005,"Bay of Brest, France",Winter,Paracentrotus lividus,Palmaria palmata,mg dry mass urchin^−1 d^−1,57.22543353,10.40462428,3,6.026011561,4.50867052,3,NA,NA,NA,NA,NA,NA,Figure 4a,n from text
Jacquin et al. 2006,10.1016/j.jembe.2006.07.005,"Bay of Brest, France",Winter,Paracentrotus lividus,Palmaria palmata,mg dry mass urchin^−1 d^−1,59.07514451,1.849710983,3,6.112716763,2.167630058,3,NA,NA,NA,NA,NA,NA,Figure 4a,n from text
Jacquin et al. 2006,10.1016/j.jembe.2006.07.005,"Bay of Brest, France",Winter,Paracentrotus lividus,Palmaria palmata,mg dry mass urchin^−1 d^−1,44.16184971,5.664739884,3,6.546242775,1.040462428,3,NA,NA,NA,NA,NA,NA,Figure 4a,n from text
Jacquin et al. 2006,10.1016/j.jembe.2006.07.005,"Bay of Brest, France",Winter,Paracentrotus lividus,Palmaria palmata,mg dry mass urchin^−1 d^−1,34.21965318,3.352601156,3,5.462427746,1.170520231,3,NA,NA,NA,NA,NA,NA,Figure 4a,n from text
Jacquin et al. 2006,10.1016/j.jembe.2006.07.005,"Bay of Brest, France",Spring,Paracentrotus lividus,Palmaria palmata,mg dry mass urchin^−1 d^−1,39.30635838,5.780346821,3,6.849710983,1.604046243,3,NA,NA,NA,NA,NA,NA,Figure 4a,n from text
Jacquin et al. 2006,10.1016/j.jembe.2006.07.005,"Bay of Brest, France",Spring,Paracentrotus lividus,Palmaria palmata,mg dry mass urchin^−1 d^−1,30.28901734,12.94797688,3,2.904624277,0.867052023,3,NA,NA,NA,NA,NA,NA,Figure 4a,n from text
Jacquin et al. 2006,10.1016/j.jembe.2006.07.005,"Bay of Brest, France",Spring,Paracentrotus lividus,Palmaria palmata,mg dry mass urchin^−1 d^−1,42.65895954,12.02312139,3,3.858381503,1.51734104,3,NA,NA,NA,NA,NA,NA,Figure 4a,n from text
Jacquin et al. 2006,10.1016/j.jembe.2006.07.005,"Bay of Brest, France",Spring,Paracentrotus lividus,Palmaria palmata,mg dry mass urchin^−1 d^−1,50.1734104,8.323699422,3,6.286127168,1.647398844,3,NA,NA,NA,NA,NA,NA,Figure 4a,n from text
Jacquin et al. 2006,10.1016/j.jembe.2006.07.005,"Bay of Brest, France",Summer,Paracentrotus lividus,Palmaria palmata,mg dry mass urchin^−1 d^−1,48.32369942,3.815028902,3,6.112716763,0.433526012,3,NA,NA,NA,NA,NA,NA,Figure 4a,n from text
Jacquin et al. 2006,10.1016/j.jembe.2006.07.005,"Bay of Brest, France",Summer,Paracentrotus lividus,Palmaria palmata,mg dry mass urchin^−1 d^−1,50.52023121,4.855491329,3,5.115606936,0.73699422,3,NA,NA,NA,NA,NA,NA,Figure 4a,n from text
Jacquin et al. 2006,10.1016/j.jembe.2006.07.005,"Bay of Brest, France",Summer,Paracentrotus lividus,Palmaria palmata,mg dry mass urchin^−1 d^−1,52.71676301,11.79190751,3,7.456647399,3.294797688,3,NA,NA,NA,NA,NA,NA,Figure 4a,n from text
Jacquin et al. 2006,10.1016/j.jembe.2006.07.005,"Bay of Brest, France",Summer,Paracentrotus lividus,Palmaria palmata,mg dry mass urchin^−1 d^−1,48.67052023,13.6416185,3,8.020231214,2.037572254,3,NA,NA,NA,NA,NA,NA,Figure 4a,n from text
Jacquin et al. 2006,10.1016/j.jembe.2006.07.005,"Bay of Brest, France",Summer,Paracentrotus lividus,Palmaria palmata,mg dry mass urchin^−1 d^−1,44.27745665,11.0982659,3,5.028901734,0.910404624,3,NA,NA,NA,NA,NA,NA,Figure 4a,n from text
Jacquin et al. 2006,10.1016/j.jembe.2006.07.005,"Bay of Brest, France",Summer,Paracentrotus lividus,Palmaria palmata,mg dry mass urchin^−1 d^−1,38.7283237,6.011560694,3,6.936416185,3.424855491,3,NA,NA,NA,NA,NA,NA,Figure 4a,n from text
Jacquin et al. 2006,10.1016/j.jembe.2006.07.005,"Bay of Brest, France",Autumn,Psammechinus miliaris,Palmaria palmata,mg dry mass urchin^−1 d^−1,43.55167394,16.30276565,3,4.410480349,0.742358079,3,NA,NA,NA,NA,NA,NA,Figure 4b,n from text
Jacquin et al. 2006,10.1016/j.jembe.2006.07.005,"Bay of Brest, France",Autumn,Psammechinus miliaris,Palmaria palmata,mg dry mass urchin^−1 d^−1,53.56622999,8.384279476,3,7.423580786,2.096069869,3,NA,NA,NA,NA,NA,NA,Figure 4b,n from text
Jacquin et al. 2006,10.1016/j.jembe.2006.07.005,"Bay of Brest, France",Autumn,Psammechinus miliaris,Palmaria palmata,mg dry mass urchin^−1 d^−1,63.58078603,10.13100437,3,9.344978166,0.611353712,3,NA,NA,NA,NA,NA,NA,Figure 4b,n from text
Jacquin et al. 2006,10.1016/j.jembe.2006.07.005,"Bay of Brest, France",Autumn,Psammechinus miliaris,Palmaria palmata,mg dry mass urchin^−1 d^−1,58.57350801,6.404657933,3,8.864628821,0.829694323,3,NA,NA,NA,NA,NA,NA,Figure 4b,n from text
Jacquin et al. 2006,10.1016/j.jembe.2006.07.005,"Bay of Brest, France",Winter,Psammechinus miliaris,Palmaria palmata,mg dry mass urchin^−1 d^−1,50.42212518,14.78893741,3,8.995633188,0.873362445,3,NA,NA,NA,NA,NA,NA,Figure 4b,n from text
Jacquin et al. 2006,10.1016/j.jembe.2006.07.005,"Bay of Brest, France",Winter,Psammechinus miliaris,Palmaria palmata,mg dry mass urchin^−1 d^−1,78.95196507,1.979621543,3,8.689956332,1.528384279,3,NA,NA,NA,NA,NA,NA,Figure 4b,n from text
Jacquin et al. 2006,10.1016/j.jembe.2006.07.005,"Bay of Brest, France",Winter,Psammechinus miliaris,Palmaria palmata,mg dry mass urchin^−1 d^−1,64.62882096,6.521106259,3,16.8558952,7.074235808,3,NA,NA,NA,NA,NA,NA,Figure 4b,n from text
Jacquin et al. 2006,10.1016/j.jembe.2006.07.005,"Bay of Brest, France",Winter,Psammechinus miliaris,Palmaria palmata,mg dry mass urchin^−1 d^−1,51.35371179,1.280931587,3,11.35371179,1.135371179,3,NA,NA,NA,NA,NA,NA,Figure 4b,n from text
